개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,건물소유구분명,공장사무직직원수,공장생산직직원수,공장판매직직원수,급수시설구분명,남성종사자수,다중이용업소여부,데이터갱신시점,도로명주소,등급구분명,보증액,본사직원수,상세영업상태명,상세영업상태코드,시설총규모,여성종사자수,영업상태코드,영업장주변구분명,월세액,위생업태명,전통업소주된음식,전통업소지정번호,전화번호,좌표정보(X),좌표정보(Y),지번주소,홈페이지,최종수정시점
4010000,4010000-101-1991-00061,1991-06-11,폐업,2005-05-20,26.40,429-881,,쎄미호프,경양식,I,,,,,상수도전용,0,N,2026-05-02 22:03:44,,,,,폐업,02,26.4,0,03,학교정화(상대),,경양식,,,0314951139,180762.080303196    ,426611.06907281     ,경기도 시흥시 거모동 1553-3 ,,2001-09-20 00:00:00
4010000,4010000-101-2014-00260,2014-09-24,폐업,2024-11-21,30.00,429-460,15050,김밥천국죽율점,분식,I,,,,,,,N,2026-05-02 22:05:51,경기도 시흥시 죽율로 47 (죽율동),,,,폐업,02,30,,03,,,분식,,,0314318252,178766.278299354    ,427596.153037949    ,경기도 시흥시 죽율동 759 202호,,2024-11-21 14:43:17
4010000,4010000-101-1999-00234,1999-12-24,폐업,2005-01-17,32.72,429-874,,수라상,한식,I,,,,,상수도전용,0,N,2026-05-02 22:04:03,,,,,폐업,02,32.72,0,03,유흥업소밀집지역,,한식,,,0316910258,182148.88513762     ,438187.136650432    ,경기도 시흥시 대야동 580-3 세화프라자201호 ,,2004-01-26 00:00:00
4010000,4010000-101-2023-00583,2023-08-11,영업/정상,,53.25,429-450,15119,굽네치킨거북섬점,기타,U,,,,,,,N,2026-05-02 22:06:43,"경기도 시흥시 거북섬2길 21, 폴리프라자1 1층 109호 (정왕동)",,,,영업,01,53.25,,01,,,기타,,,,171307.177955933    ,425034.235103034    ,경기도 시흥시 정왕동 2703-2 ,,2025-12-04 14:20:01
4010000,4010000-101-2022-00514,2022-07-21,영업/정상,,150.12,429-842,15002,제줏간시흥장곡점,한식,I,,,,,,,N,2026-05-02 22:06:36,"경기도 시흥시 장곡1로 11, 1층 101,102,103호 (장곡동)",,,,영업,01,150.12,,01,,,한식,,,,180855.127601132    ,430849.840728946    ,경기도 시흥시 장곡동 388-6 ,,2022-08-23 13:40:57
4010000,4010000-101-2021-00915,2021-12-09,영업/정상,,34.70,,15011,홍짜장배곧한라비발디점,중국식,I,,,,,,,N,2026-05-02 22:06:32,"경기도 시흥시 배곧1로 27-15, 상가2동 1층 105호 (배곧동, 한라비발디캠퍼스)",,,,영업,01,34.7,,01,,,중국식,,,0314992809,174465.929718868    ,429126.779076857    ,경기도 시흥시 배곧동 243 한라비발디캠퍼스 ,,2021-12-09 09:55:19
4010000,4010000-101-2018-00376,2018-07-17,폐업,2020-10-07,47.25,429-450,,광안시장박고지김밥,분식,I,,,,,,,N,2026-05-02 22:06:11,"경기도 시흥시 배곧4로 32-9, 골든프라자 1층 110호 (정왕동)",,,,폐업,02,47.25,,03,,,분식,,,,175765.244425981    ,430553.878700729    ,경기도 시흥시 정왕동 2477-4 골든프라자 ,,2020-10-07 13:05:01
4010000,4010000-101-1996-00188,1996-04-25,폐업,2005-05-20,98.53,429-831,,드림시티레스토랑,경양식,I,,,,,상수도전용,0,N,2026-05-02 22:03:50,,,,,폐업,02,98.53,0,03,주택가주변,,경양식,,,0316949800,180993.004287726    ,437451.601589808    ,경기도 시흥시 신천동 766-3 ,,2001-07-25 00:00:00
4010000,4010000-101-2001-00073,2001-05-03,폐업,2004-12-08,96.82,429-837,,원조동두천부대찌게,한식,I,,,,,상수도전용,0,N,2026-05-02 22:04:17,,,,,폐업,02,96.82,0,03,기타,,한식,,,0313130411,182122.102081772    ,438087.455828333    ,경기도 시흥시 은행동 531-4 203호 ,,2001-07-25 00:00:00
4010000,4010000-101-1993-00057,1993-06-18,폐업,1996-04-17,.00,429-807,,있잖아요아빠,한식,I,,,,,상수도전용,0,N,2026-05-02 22:03:45,,,,,폐업,02,0,0,03,기타,,한식,,,0316950316,181517.571433188    ,438264.66818378     ,경기도 시흥시 대야동 358-2 ,,2001-07-25 00:00:00
4010000,4010000-101-2004-00255,2004-05-24,폐업,2013-04-30,224.48,429-911,15015,옛날그자리,기타,I,,,,,상수도전용,0,N,2026-05-02 22:05:00,"경기도 시흥시 오이도로 199-1 (정왕동, 1,2층)",,,,폐업,02,224.48,0,03,,,기타,,,0314960992,172202.706623827    ,426826.10246975     ,"경기도 시흥시 정왕동 2030-11 1,2층 ",,2012-01-30 11:08:45
4010000,4010000-101-2006-00081,2006-03-28,폐업,2011-02-09,40.70,429-252,,참나무장작화덕구이,한식,I,,,,,,,N,2026-05-02 22:05:22,,,,,폐업,02,40.7,,03,,,한식,,,0313178205,182638.097770638    ,432067.305202698    ,경기도 시흥시 하중동 875-1 ,,2008-11-04 09:27:31
4010000,4010000-101-2006-00039,2006-02-23,폐업,2012-02-24,293.24,429-911,15015,천지생고기전문점,식육(숯불구이),I,,,,,,,N,2026-05-02 22:05:22,"경기도 시흥시 오이도중앙로 3 (정왕동, 1,2층)",,,,폐업,02,293.24,,03,,,식육(숯불구이),,,0314973133,172550.751905806    ,427344.77393587     ,"경기도 시흥시 정왕동 1979-1 1,2층 ",,2012-02-07 10:09:58
4010000,4010000-101-2026-00305,2026-07-06,영업/정상,,126.46,429-861,15066,히말라야스파이스,"외국음식전문점(인도,태국등)",I,,,,,,,Y,2026-07-07 10:07:40,"경기도 시흥시 중심상가2길 20-13, KT공영주차장 2층 203-가,203-나호 (정왕동)",,,,영업,01,126.46,,01,,,"외국음식전문점(인도,태국등)",,,,176652.376465837    ,426959.64539408     ,경기도 시흥시 정왕동 1738-5 KT공영주차장 ,,2026-07-06 09:26:36
4010000,4010000-101-2026-00306,2026-07-06,영업/정상,,50.60,,15011,모음,기타,I,,,,,,,N,2026-07-07 10:07:40,"경기도 시흥시 서울대학로278번길 19-8, 새롬프라자 1층 107호 (배곧동)",,,,영업,01,50.6,,01,,,기타,,,,175866.649149471    ,429786.130035501    ,경기도 시흥시 배곧동 193-2 새롬프라자 ,,2026-07-06 10:13:52
4010000,4010000-101-2026-00307,2026-07-06,영업/정상,,95.00,429-822,14944,다모이,기타,U,,,,,,,N,2026-08-06 21:47:50,"경기도 시흥시 미산로 76-1, SN빌딩 1층 일부호 (미산동)",,,,영업,01,95,,01,,,기타,,,,181915.508310947    ,435498.522655025    ,경기도 시흥시 미산동 85-10 SN빌딩 ,,2026-08-05 15:33:01
4010000,4010000-101-2010-00021,2010-01-26,폐업,2012-04-06,24.00,429-844,,김치속에 고등어가 있다,한식,I,,,,,상수도전용,,N,2026-05-02 22:05:37,,,,,폐업,02,24,,03,,,한식,,,0313185249,182396.883139377    ,431097.330867549    ,경기도 시흥시 장현동 546-1 드림펠리스 1층 114호 ,,2010-03-04 14:23:22
4010000,4010000-101-2022-00831,2022-11-16,폐업,2024-12-16,26.98,429-060,14922,푸드코리아,기타,I,,,,,,,N,2026-05-02 22:06:38,"경기도 시흥시 은계번영길 23, 은계타운 2층 216호 일부호 (은행동)",,,,폐업,02,26.98,,03,,,기타,,,,182573.835154492    ,437236.355663787    ,경기도 시흥시 은행동 646-10 은계타운 ,,2024-12-16 11:05:30
4010000,4010000-101-2006-00086,2006-03-29,영업/정상,,46.34,429-862,15036,전라도연탄구이,한식,I,,,,,,,N,2026-05-02 22:05:22,"경기도 시흥시 서촌상가2길 29, 105호 (정왕동)",,,,영업,01,46.34,,01,,,한식,,,0314329500,176236.31117105     ,427106.989074271    ,경기도 시흥시 정왕동 1731-19 105호 ,,2015-07-28 15:11:54
4010000,4010000-101-2018-00121,2018-03-20,폐업,2019-10-01,76.20,429-861,15062,에스바(SBAR),정종/대포집/소주방,I,,,,,,,N,2026-05-02 22:06:08,"경기도 시흥시 중심상가로 320, 서울프라자 3층 303호 (정왕동)",,,,폐업,02,76.2,,03,,,정종/대포집/소주방,,,,177559.886016386    ,426152.016863038    ,경기도 시흥시 정왕동 1782-5 서울프라자 ,,2019-10-01 11:29:22
4010000,4010000-101-2013-00263,2013-10-04,폐업,2022-07-21,80.89,429-882,,본전갈비,식육(숯불구이),I,,,,,,,N,2026-05-02 22:05:48,"경기도 시흥시 시흥대로 1114, 1층 (신천동)",,,,폐업,02,80.89,,03,,,식육(숯불구이),,,0313118892,181531.015084676    ,437019.820481721    ,경기도 시흥시 신천동 83-59 1층 ,,2022-07-21 17:36:48
4010000,4010000-101-2015-00148,2015-02-23,폐업,2016-10-21,18.30,429-842,15002,미래김밥,분식,I,,,,,,,N,2026-05-02 22:05:52,"경기도 시흥시 장곡로70번길 11-1, 1층 (장곡동)",,,,폐업,02,18.3,,03,,,분식,,,,180529.728003139    ,430959.736972417    ,경기도 시흥시 장곡동 800-4 1층 ,,2015-02-23 10:41:57
4010000,4010000-101-2019-00491,2019-09-02,폐업,2021-12-23,18.34,429-874,14912,가츠린야끼텐(시흥점),기타,I,,,,,,,N,2026-05-02 22:06:16,"경기도 시흥시 비둘기공원로 28, 롯데마트 시흥점 2층 일부호 (대야동)",,,,폐업,02,18.34,,03,,,기타,,,,181520.673307238    ,437898.181862031    ,경기도 시흥시 대야동 542 롯데마트 시흥점 ,,2021-12-23 16:42:25
4010000,4010000-101-2009-00012,2009-01-16,폐업,2015-02-16,65.12,429-834,14964,공룡족발,한식,I,,,,,상수도전용,,N,2026-05-02 22:05:34,"경기도 시흥시 월곶중앙로 90, 106호 (월곶동, 풍림아파트상가)",,,,폐업,02,65.12,,03,,,한식,,,,176679.463152938    ,432080.027950486    ,경기도 시흥시 월곶동 1010-4 풍림아파트상가 106호,,2015-01-12 14:44:15
4010000,4010000-101-2011-00360,2011-10-20,영업/정상,,98.64,429-867,15015,쌀국수전문점,"외국음식전문점(인도,태국등)",I,,,,,,,N,2026-05-02 22:05:44,"경기도 시흥시 오이도5길 19, 1층 101호 (정왕동)",,,,영업,01,98.64,,01,,,"외국음식전문점(인도,태국등)",,,,172343.186703964    ,426777.533757531    ,경기도 시흥시 정왕동 2026-8 1층 101호,,2020-06-02 09:18:21
4010000,4010000-101-2024-00208,2024-04-02,영업/정상,,70.20,429-861,15066,꼬마김밥365,분식,I,,,,,,,N,2026-05-02 22:06:47,"경기도 시흥시 정왕대로 230, 제일프라자 1층 101-2호 (정왕동)",,,,영업,01,70.2,,01,,,분식,,,0314346788,176756.587046982    ,427023.699054553    ,경기도 시흥시 정왕동 1734-7 제일프라자 ,,2024-04-02 10:31:04
4010000,4010000-101-2007-00321,2007-07-31,폐업,2024-07-03,70.18,429-857,15056,태가매운명태조림,식육(숯불구이),I,,,,,,,N,2026-05-02 22:05:28,경기도 시흥시 정왕대로233번안길 1 (정왕동),,,,폐업,02,70.18,,03,,,식육(숯불구이),,,,177009.164222312    ,427249.201353554    ,경기도 시흥시 정왕동 1600-6 ,,2024-07-03 16:14:24
4010000,4010000-101-2003-00325,2003-06-13,폐업,2014-07-24,60.30,429-873,15070,명품가마솥손두부,한식,I,,,,,상수도전용,0,N,2026-05-02 22:04:32,"경기도 시흥시 도일로123번길 8, 101호 (거모동)",,,,폐업,02,60.3,0,03,,,한식,,,0314930050,180749.550300558    ,426692.831588262    ,경기도 시흥시 거모동 1751-9 101호 ,,2013-07-25 10:22:18
4010000,4010000-101-1994-00133,1994-03-15,폐업,2009-01-21,23.80,429-830,,호산나중화요리,중국식,I,,,,,상수도전용,0,N,2026-05-02 22:03:47,,,,,폐업,02,23.8,0,03,기타,,중국식,,,0316938965,180885.39541496     ,437563.611156833    ,경기도 시흥시 신천동 737-7 ,,2001-07-25 00:00:00
4010000,4010000-101-2025-00191,2025-05-09,영업/정상,,131.85,429-844,14998,공단감자탕삼겹살,한식,I,,,,,,,N,2026-05-02 22:06:54,"경기도 시흥시 시청로72번길 13, 1층 (장현동)",,,,영업,01,131.85,,01,,,한식,,,,182273.621048821    ,431075.539855688    ,경기도 시흥시 장현동 535-4 ,,2025-06-27 17:42:52
4010000,4010000-101-2008-00342,2008-09-19,폐업,2017-11-23,19.30,429-881,15069,밴댕이집,한식,I,,,,,,,N,2026-05-02 22:05:32,경기도 시흥시 군자로534번길 68 (거모동),,,,폐업,02,19.3,,03,,,한식,,,,180793.420781964    ,426205.26443726     ,경기도 시흥시 거모동 1778-8 ,,2017-11-23 11:02:11
4010000,4010000-101-2003-00287,2003-05-26,폐업,2004-04-09,,429-856,,엄마야식,한식,I,,,,,상수도전용,0,N,2026-05-02 22:04:31,,,,,폐업,02,0,0,03,,,한식,,,0314327644,177637.555180653    ,426580.618992663    ,경기도 시흥시 정왕동 1428-4 1층 ,,2003-05-26 00:00:00
4010000,4010000-101-2024-00118,2024-02-23,폐업,2026-04-13,268.37,429-430,14996,슬로장현,한식,U,,,,,,,N,2026-05-02 22:06:47,"경기도 시흥시 황고개로 486, 퍼스트프라자 1층 107호~114호 (장곡동)",,,,폐업,02,268.37,,03,,,한식,,,,181357.065001044    ,430257.559474796    ,경기도 시흥시 장곡동 949-4 퍼스트프라자 ,,2026-04-13 14:58:54
4010000,4010000-101-2021-00524,2021-07-09,폐업,2023-01-11,47.20,429-830,14948,스시현,일식,I,,,,,,,N,2026-05-02 22:06:29,"경기도 시흥시 삼미시장1길 37, 1층 121호 (신천동)",,,,폐업,02,47.2,,03,,,일식,,,,180684.172017569    ,437670.537627928    ,경기도 시흥시 신천동 743-2 ,,2023-01-11 15:13:12
4010000,4010000-101-2015-00415,2015-10-01,폐업,2017-11-21,26.00,429-847,15052,24시포차,정종/대포집/소주방,I,,,,,,,N,2026-05-02 22:05:55,"경기도 시흥시 정왕천로411번길 8, 103호 (정왕동)",,,,폐업,02,26,,03,,,정종/대포집/소주방,,,,177896.178242201    ,427002.395217469    ,경기도 시흥시 정왕동 1194-11 103호,,2017-11-29 16:17:14
4010000,4010000-101-2000-00188,2000-10-16,폐업,2004-03-02,100.77,429-874,,마포숯불갈비,한식,I,,,,,상수도전용,0,N,2026-05-02 22:04:08,,,,,폐업,02,100.77,0,03,기타,,한식,,,0313116697,181546.832263878    ,438000.766205583    ,"경기도 시흥시 대야동 562-5 6대야하이빌101,102호 ",,2002-06-29 00:00:00
4010000,4010000-101-2022-00006,2022-01-05,영업/정상,,136.40,429-844,14998,명가,한식,I,,,,,,,N,2026-05-02 22:06:32,"경기도 시흥시 새재로 27, 1층 (장현동)",,,,영업,01,136.4,,01,,,한식,,,0313136874,182465.210530903    ,431078.527916183    ,경기도 시흥시 장현동 548-7 ,,2022-02-18 21:37:13
4010000,4010000-101-2001-00562,2001-10-17,폐업,2005-01-19,35.49,429-856,,가야해장국,한식,I,,,,,,0,N,2026-05-02 22:04:21,,,,,폐업,02,35.49,0,03,,,한식,,,,177277.818502806    ,427074.978366335    ,경기도 시흥시 정왕동 1576-3 ,,2001-10-17 00:00:00
4010000,4010000-101-2000-00471,2000-08-04,폐업,2004-07-03,30.54,429-800,,엔조이락,분식,I,,,,,상수도전용,0,N,2026-05-02 22:04:14,,,,,폐업,02,30.54,0,03,기타,,분식,,,0313193851,179875.602512515    ,428525.462404733    ,경기도 시흥시 거모동 634-3 635-2 ,,2002-08-21 00:00:00
4010000,4010000-101-1995-00028,1995-04-18,폐업,2007-05-21,20.88,429-830,,대성숯불소금구이,한식,I,,,,,상수도전용,0,N,2026-05-02 22:03:48,,,,,폐업,02,20.88,0,03,기타,,한식,,,0316919595,180806.647232344    ,437627.778199337    ,경기도 시흥시 신천동 738-2 상가A-101 ,,2001-07-25 00:00:00
4010000,4010000-101-2004-00136,2004-03-25,폐업,2009-09-14,88.48,429-867,,우리칼국수,분식,I,,,,,상수도전용,0,N,2026-05-02 22:04:50,,,,,폐업,02,88.48,0,03,,,분식,,,0314998259,172365.566957936    ,427376.114726417    ,경기도 시흥시 정왕동 1973-22 1층 ,,2008-10-17 14:16:11
4010000,4010000-101-2022-00617,2022-08-31,영업/정상,,35.34,429-811,14909,밤이면밤마다실내포차,기타,I,,,,,,,N,2026-05-02 22:06:36,"경기도 시흥시 대골안길 65, 1층 일부호 (대야동)",,,,영업,01,35.34,,01,,,기타,,,,181126.234718517    ,438015.194466007    ,경기도 시흥시 대야동 489-10 ,,2024-06-25 09:33:20
4010000,4010000-101-2015-00457,2015-10-27,폐업,2020-11-16,55.60,429-861,,돌리고제주도야지,식육(숯불구이),I,,,,,,,N,2026-05-02 22:05:55,"경기도 시흥시 서울대학로278번길 19-14, 119호 (정왕동, 배곧(프))",,,,폐업,02,55.6,,03,,,식육(숯불구이),,,,175894.079233629    ,429822.55268777     ,경기도 시흥시 정왕동 1772-23 배곧(프) 119호,,2020-11-16 15:20:33
4010000,4010000-101-2023-00025,2023-01-12,영업/정상,,281.88,429-847,15052,대천부샤브샤브,기타,U,,,,,,,Y,2026-05-02 22:06:39,"경기도 시흥시 정왕시장길 51, 정왕시장 2층 201호 203호 (정왕동)",,,,영업,01,281.88,,01,,,기타,,,,177650.360053184    ,427115.341483301    ,경기도 시흥시 정왕동 1203 정왕시장 ,,2025-12-16 14:09:06
4010000,4010000-101-2022-00663,2022-09-21,폐업,2025-04-08,37.80,429-240,14999,진향원마라탕,기타,I,,,,,,,N,2026-05-02 22:06:36,"경기도 시흥시 능곡번영길 30, 119호 (능곡동)",,,,폐업,02,37.8,,03,,,기타,,,,182800.783926613    ,429794.882209076    ,경기도 시흥시 능곡동 212 ,,2025-04-08 16:33:42
4010000,4010000-101-2015-00533,2015-12-23,영업/정상,,61.88,429-240,14995,물꼬기나라,기타,I,,,,,,,N,2026-05-02 22:05:56,"경기도 시흥시 승지로59번길 1, 105-106호 (능곡동)",,,,영업,01,61.88,,01,,,기타,,,0313186288,183096.302229304    ,429699.494640402    ,경기도 시흥시 능곡동 728 105-106호 ,,2021-08-05 15:49:47
4010000,4010000-101-2015-00110,2015-02-02,폐업,2016-08-25,36.96,429-856,15051,사절왕,중국식,I,,,,,,,N,2026-05-02 22:05:52,"경기도 시흥시 정왕천로414번길 10, 1층 (정왕동)",,,,폐업,02,36.96,,03,,,중국식,,,,178041.729705792    ,426894.762039009    ,경기도 시흥시 정왕동 1516-8 ,,2015-02-02 13:50:13
4010000,4010000-101-2002-00660,2002-12-20,영업/정상,,115.20,429-863,15034,시화병원장례식장,한식,I,,,,,,0,N,2026-05-02 22:04:29,"경기도 시흥시 군자천로 381-1, 시화병원 1층 일부호 (정왕동)",,,,영업,01,115.2,0,01,,,한식,,,0314310831,176644.513028873    ,427587.809327063    ,경기도 시흥시 정왕동 1842-3 시화병원 ,,2021-04-11 14:45:34
4010000,4010000-101-2022-00079,2022-02-11,폐업,2024-10-19,1.00,429-060,14923,보나베띠은계점,경양식,I,,,,,,,N,2026-05-02 22:06:32,"경기도 시흥시 은계중앙로 236, 4층 401호 (은행동)",,,,폐업,02,1,,03,,,경양식,,,,182614.093347627    ,438126.028006515    ,경기도 시흥시 은행동 608-7 ,,2024-10-18 17:02:33
4010000,4010000-101-2022-00192,2022-03-30,영업/정상,,53.04,429-838,14916,치킨사랑,호프/통닭,I,,,,,,,N,2026-05-02 22:06:33,"경기도 시흥시 대은로104번길 30-1, 1층 일부호 (은행동)",,,,영업,01,53.04,,01,,,호프/통닭,,,,182256.467427704    ,437887.74185254     ,경기도 시흥시 은행동 539-1 영어숲 ,,2022-09-15 12:34:32
4010000,4010000-101-2024-00386,2024-06-13,영업/정상,,53.97,429-828,14904,곱창이랑순대국,한식,I,,,,,,,N,2026-05-02 22:06:49,"경기도 시흥시 수인로3394번길 9, 1층 (신천동)",,,,영업,01,53.97,,01,,,한식,,,,180672.790973538    ,437851.075972154    ,경기도 시흥시 신천동 716-11 ,,2024-07-23 17:21:39
4010000,4010000-101-2024-00291,2024-05-02,영업/정상,,116.36,429-834,14968,일등출장바베큐,한식,I,,,,,,,N,2026-05-02 22:06:47,"경기도 시흥시 월곶해안로 29-12, 1층 (월곶동)",,,,영업,01,116.36,,01,,,한식,,,,176917.475          ,432457.5            ,경기도 시흥시 월곶동 991-8 ,,2024-05-02 16:43:28
4010000,4010000-101-2005-00083,2005-03-31,영업/정상,,215.57,429-864,15040,청라꽃갈비정왕점,한식,I,,,,,,,N,2026-05-02 22:05:16,"경기도 시흥시 중심상가로 34, 1층 (정왕동)",,,,영업,01,215.57,,01,,,한식,,,0314319897,175313.468693189    ,427898.023614759    ,경기도 시흥시 정왕동 1855-2 1층 ,,2024-09-09 15:35:46
4010000,4010000-101-1994-00182,1994-01-29,폐업,2010-04-06,26.97,429-811,,홍길동왕족발,분식,I,,,,,상수도전용,0,N,2026-05-02 22:03:47,,,,,폐업,02,26.97,0,03,기타,,분식,,,0316945999,180815.59906008     ,438089.441383375    ,경기도 시흥시 대야동 483-6 ,,2001-09-18 00:00:00
4010000,4010000-101-2003-00110,2003-03-11,폐업,2007-04-13,90.01,429-864,,별난 버섯집,한식,I,,,,,상수도전용,0,N,2026-05-02 22:04:30,,,,,폐업,02,90.01,0,03,,,한식,,,0314317879,175353.781909435    ,428047.422792983    ,경기도 시흥시 정왕동 1857-1 203호 ,,2003-03-11 00:00:00
4010000,4010000-101-2007-00193,2007-05-17,폐업,2008-05-13,57.88,429-460,,길까페,기타,I,,,,,상수도전용,0,N,2026-05-02 22:05:27,,,,,폐업,02,57.88,0,03,,,기타,,,,178922.026648082    ,428207.523982709    ,경기도 시흥시 죽율동 37-1 ,,2007-05-17 00:00:00
4010000,4010000-101-2007-00186,2007-05-14,폐업,2017-05-11,102.96,429-861,15066,김단연사주와타로카페,까페,I,,,,,,,N,2026-05-02 22:05:27,"경기도 시흥시 중심상가3길 16 (정왕동, 골든(프)202호)",,,,폐업,02,102.96,,03,,,까페,,,0313191369,176565.38513035     ,427005.823203634    ,경기도 시흥시 정왕동 1737-5 골든(프)202호 ,,2017-05-11 17:54:36
4010000,4010000-101-2015-00167,2015-03-10,영업/정상,,16.50,429-842,15002,닭발타임,기타,I,,,,,,,N,2026-05-02 22:05:52,"경기도 시흥시 인선길 46, 102호 (장곡동)",,,,영업,01,16.5,,01,,,기타,,,0313112092,180731.315699004    ,430632.864666775    ,경기도 시흥시 장곡동 811-3 102호,,2017-07-18 15:12:09
4010000,4010000-101-1998-00490,1998-09-21,폐업,2000-07-24,72.53,429-450,,옛원조바지락칼국수,분식,I,,,,,상수도전용,0,N,2026-05-02 22:04:00,,,,,폐업,02,72.53,0,03,학교정화(상대),,분식,,,,,,경기도 시흥시 정왕동 9999 6/23/69 ,,2001-07-25 00:00:00
4010000,4010000-101-1997-00235,1997-06-19,폐업,2002-08-08,.00,429-861,,전가복중화요리,중국식,I,,,,,상수도전용,0,N,2026-05-02 22:03:53,,,,,폐업,02,0,0,03,기타,,중국식,,,0314998839,176432.602257564    ,426947.672937719    ,경기도 시흥시 정왕동 1741-6 204호 ,,2001-12-05 00:00:00
4010000,4010000-101-2001-00749,2001-12-27,폐업,2004-03-22,260.95,429-864,,평창주물럭,한식,I,,,,,,0,N,2026-05-02 22:04:23,,,,,폐업,02,260.95,0,03,,,한식,,,0314328882,175388.795895061    ,427972.435037001    ,경기도 시흥시 정왕동 1858-3 ,,2001-12-27 00:00:00
4010000,4010000-101-2002-00326,2002-07-18,폐업,2002-10-30,,429-810,,바닷가,일식,I,,,,,,,N,2026-05-02 22:04:26,,,,,폐업,02,0,,03,,,일식,,,0313170796,181129.25622701     ,438315.821345256    ,경기도 시흥시 대야동 465 ,,2002-07-18 00:00:00
